Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,
,Apr,28-2,28/04/2017,3,Panelbase,,47,-2,30,3,10,0,5,0,2,-1,17,-5,Internet
,May,2-3,02/05/2017,4,YouGov,TT,48,4,29,-2,10,-1,5,-1,2,0,19,6,Internet
,May,2-3,02/05/2017,6,Opinium,Ob,46,-1,30,0,9,1,7,0,2,-1,16,-1,Internet
,May,3-4,03/05/2017,7,ORB,STel ,46,4,31,0,9,-1,8,0,,,15,4,Internet
,May,3-5,03/05/2017,7,ICM,Sun on Sunday,46,-1,28,0,10,2,8,0,4,0,18,-1,Internet
,May,3-14,03/05/2017,17,GfK,18,48,7,28,0,7,0,5,-7,3,-3,20,7,Internet
,May,4-5,04/05/2017,7,YouGov,ST,47,-1,28,-1,11,1,6,1,2,0,19,0,Internet
,May,4-8,04/05/2017,10,Kantar TNS,,44,-4,28,4,11,0,8,1,5,1,16,-8,Internet
,May,5-6,05/05/2017,9,Survation,GMB,47,,30,,7,,5,,3,,17,,Phone
,May,5-7,05/05/2017,8,ICM,Gu,49,3,27,-1,9,-1,6,-2,3,-1,22,4,Internet
,May,5-9,05/05/2017,10,Panelbase,,48,1,31,1,8,-2,5,0,2,0,17,0,Internet
